$0000000F (    MOV) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (logical) = 1: 93.75%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (ADD/SUB) = 1: 93.75%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (Offs. 8) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000000F (Offs. 6) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 

$0000001F (    MOV) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (logical) = 1: 96.88%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (ADD/SUB) = 1: 96.88%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (Offs. 8) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000001F (Offs. 6) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 

$0000003F (    MOV) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (logical) = 1: 98.44%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (ADD/SUB) = 1: 98.44%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (Offs. 8) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000003F (Offs. 6) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 

$0000007F (    MOV) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (logical) = 1: 99.22%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (ADD/SUB) = 1: 99.22%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (Offs. 8) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$0000007F (Offs. 6) = 1: 50.00%, 2: 50.00%, 3: NEVER , 4: NEVER , 5: NEVER , 

$000000FF (    MOV) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (logical) = 1: 99.61%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (ADD/SUB) = 1: 99.61%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (Offs. 8) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000000FF (Offs. 6) = 1: 25.00%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 

$000001FF (    MOV) = 1: 62.50%, 2: 37.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (logical) = 1: 62.30%, 2: 37.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (ADD/SUB) = 1: 62.30%, 2: 37.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (Offs. 8) = 1: 50.00%, 2: 50.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000001FF (Offs. 6) = 1: 12.50%, 2: 87.50%, 3: NEVER , 4: NEVER , 5: NEVER , 

$000003FF (    MOV) = 1: 43.75%, 2: 56.25%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (logical) = 1: 43.65%, 2: 56.25%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (ADD/SUB) = 1: 43.65%, 2: 56.25%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (Offs.10) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (Offs. 8) = 1: 25.00%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000003FF (Offs. 6) = 1:  6.25%, 2: 93.75%, 3: NEVER , 4: NEVER , 5: NEVER , 

$000007FF (    MOV) = 1: 25.00%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (logical) = 1: 24.95%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (ADD/SUB) = 1: 24.95%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (Offs.10) = 1: 50.00%, 2: 50.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (Offs. 8) = 1: 12.50%, 2: 87.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$000007FF (Offs. 6) = 1:  3.12%, 2: 96.88%, 3: NEVER , 4: NEVER , 5: NEVER , 

$00000FFF (    MOV) = 1: 15.63%, 2: 84.37%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (logical) = 1: 15.60%, 2: 84.37%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (ADD/SUB) = 1: 15.60%, 2: 84.37%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (Offs.12) = 1:100.00%, 2: NEVER , 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (Offs.10) = 1: 25.00%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (Offs. 8) = 1:  6.25%, 2: 93.75%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00000FFF (Offs. 6) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 

$00001FFF (    MOV) = 1:  8.59%, 2: 91.41%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (logical) = 1:  8.58%, 2: 91.41%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (ADD/SUB) = 1:  8.58%, 2: 91.41%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (Offs.12) = 1: 50.00%, 2: 50.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (Offs.10) = 1: 12.50%, 2: 87.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (Offs. 8) = 1:  3.12%, 2: 96.88%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00001FFF (Offs. 6) = 1:  0.78%, 2: 99.22%, 3: NEVER , 4: NEVER , 5: NEVER , 

$00003FFF (    MOV) = 1:  5.08%, 2: 94.92%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (logical) = 1:  5.07%, 2: 94.92%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (ADD/SUB) = 1:  5.07%, 2: 94.92%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (Offs.12) = 1: 25.00%, 2: 75.00%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (Offs.10) = 1:  6.25%, 2: 93.75%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (Offs. 8) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00003FFF (Offs. 6) = 1:  0.39%, 2: 99.61%, 3: NEVER , 4: NEVER , 5: NEVER , 

$00007FFF (    MOV) = 1:  2.73%, 2: 97.27%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (logical) = 1:  2.73%, 2: 97.27%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (ADD/SUB) = 1:  2.73%, 2: 97.27%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (Offs.12) = 1: 12.50%, 2: 87.50%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (Offs.10) = 1:  3.12%, 2: 96.88%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (Offs. 8) = 1:  0.78%, 2: 99.22%, 3: NEVER , 4: NEVER , 5: NEVER , 
$00007FFF (Offs. 6) = 1:  0.20%, 2: 62.30%, 3: 37.50%, 4: NEVER , 5: NEVER , 

$0000FFFF (    MOV) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (logical) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (ADD/SUB) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (Offs.12) = 1:  6.25%, 2: 93.75%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (Offs.10) = 1:  1.56%, 2: 98.44%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (Offs. 8) = 1:  0.39%, 2: 99.61%, 3: NEVER , 4: NEVER , 5: NEVER , 
$0000FFFF (Offs. 6) = 1:  0.10%, 2: 43.65%, 3: 56.25%, 4: NEVER , 5: NEVER , 

$0001FFFF (    MOV) = 1:  0.83%, 2: 71.05%, 3: 28.12%, 4: NEVER , 5: NEVER , 
$0001FFFF (logical) = 1:  0.83%, 2: 71.04%, 3: 28.12%, 4: NEVER , 5: NEVER , 
$0001FFFF (ADD/SUB) = 1:  0.83%, 2: 71.04%, 3: 28.12%, 4: NEVER , 5: NEVER , 
